14:54:43 [SocketManager] Server started at port [44490]
14:54:43 [ServerList] ServerList loaded successfully
14:54:59 [ServerList] JoinServer online
14:55:14 [ServerList] GameServer online (Sala Principal) (6)
14:55:35 [ServerList] GameServer offline (Sala Principal) (6)
14:55:54 [ServerList] GameServer online (Sala Principal) (6)
18:00:51 [ServerList] GameServer offline (Sala Principal) (6)
18:01:53 [ServerList] GameServer online (Sala Principal) (6)
18:02:09 [ServerList] GameServer offline (Sala Principal) (6)
18:02:17 [ServerList] GameServer online (Sala Principal) (6)
18:02:33 [ServerList] GameServer offline (Sala Principal) (6)
18:02:54 [ServerList] GameServer online (Sala Principal) (6)
18:31:11 [ServerList] GameServer offline (Sala Principal) (6)
18:31:40 [ServerList] GameServer online (Sala Principal) (6)
18:31:52 [ServerList] GameServer offline (Sala Principal) (6)
18:31:59 [ServerList] GameServer online (Sala Principal) (6)
18:32:11 [ServerList] GameServer offline (Sala Principal) (6)
18:32:18 [ServerList] GameServer online (Sala Principal) (6)
18:32:29 [ServerList] GameServer offline (Sala Principal) (6)
18:32:50 [ServerList] GameServer online (Sala Principal) (6)
18:40:51 [ServerList] GameServer offline (Sala Principal) (6)
18:41:11 [ServerList] GameServer online (Sala Principal) (6)
18:45:36 [ServerList] GameServer offline (Sala Principal) (6)
18:45:57 [ServerList] GameServer online (Sala Principal) (6)
18:47:28 [ServerList] GameServer offline (Sala Principal) (6)
18:47:52 [ServerList] GameServer online (Sala Principal) (6)
18:48:29 [ServerList] GameServer offline (Sala Principal) (6)
18:48:35 [ServerList] GameServer online (Sala Principal) (6)
18:48:48 [ServerList] GameServer offline (Sala Principal) (6)
18:48:55 [ServerList] GameServer online (Sala Principal) (6)
18:49:12 [ServerList] GameServer offline (Sala Principal) (6)
18:49:32 [ServerList] GameServer online (Sala Principal) (6)
18:49:45 [ServerList] GameServer offline (Sala Principal) (6)
18:50:05 [ServerList] GameServer online (Sala Principal) (6)
18:50:19 [ServerList] GameServer offline (Sala Principal) (6)
18:50:39 [ServerList] GameServer online (Sala Principal) (6)
18:51:28 [ServerList] GameServer offline (Sala Principal) (6)
18:51:48 [ServerList] GameServer online (Sala Principal) (6)
18:54:13 [ServerList] GameServer offline (Sala Principal) (6)
18:54:35 [ServerList] GameServer online (Sala Principal) (6)
19:05:48 [ServerList] GameServer offline (Sala Principal) (6)
19:10:55 [ServerList] GameServer online (Sala Principal) (6)
19:11:24 [ServerList] GameServer offline (Sala Principal) (6)
19:11:30 [ServerList] GameServer online (Sala Principal) (6)
19:11:44 [ServerList] GameServer offline (Sala Principal) (6)
19:11:51 [ServerList] GameServer online (Sala Principal) (6)
19:12:07 [ServerList] GameServer offline (Sala Principal) (6)
19:12:14 [ServerList] GameServer online (Sala Principal) (6)
19:12:26 [ServerList] GameServer offline (Sala Principal) (6)
19:12:47 [ServerList] GameServer online (Sala Principal) (6)
19:13:44 [ServerList] GameServer offline (Sala Principal) (6)
19:14:04 [ServerList] GameServer online (Sala Principal) (6)
19:16:21 [ServerList] GameServer offline (Sala Principal) (6)
19:16:28 [ServerList] GameServer online (Sala Principal) (6)
19:16:48 [ServerList] GameServer offline (Sala Principal) (6)
19:16:55 [ServerList] GameServer online (Sala Principal) (6)
19:17:21 [ServerList] GameServer offline (Sala Principal) (6)
19:17:42 [ServerList] GameServer online (Sala Principal) (6)
19:22:28 [ServerList] GameServer offline (Sala Principal) (6)
19:22:35 [ServerList] GameServer online (Sala Principal) (6)
19:22:50 [ServerList] GameServer offline (Sala Principal) (6)
19:23:11 [ServerList] GameServer online (Sala Principal) (6)
19:23:24 [ServerList] GameServer offline (Sala Principal) (6)
19:23:32 [ServerList] GameServer online (Sala Principal) (6)
19:23:44 [ServerList] GameServer offline (Sala Principal) (6)
19:23:51 [ServerList] GameServer online (Sala Principal) (6)
19:24:03 [ServerList] GameServer offline (Sala Principal) (6)
19:24:24 [ServerList] GameServer online (Sala Principal) (6)
19:24:36 [ServerList] GameServer offline (Sala Principal) (6)
19:24:57 [ServerList] GameServer online (Sala Principal) (6)
19:25:18 [ServerList] GameServer offline (Sala Principal) (6)
19:25:41 [ServerList] GameServer online (Sala Principal) (6)
19:36:39 [ServerList] GameServer offline (Sala Principal) (6)
19:37:00 [ServerList] GameServer online (Sala Principal) (6)
19:40:46 [ServerList] GameServer offline (Sala Principal) (6)
19:41:07 [ServerList] GameServer online (Sala Principal) (6)
19:41:40 [ServerList] GameServer offline (Sala Principal) (6)
19:42:02 [ServerList] GameServer online (Sala Principal) (6)
19:42:26 [ServerList] GameServer offline (Sala Principal) (6)
19:42:47 [ServerList] GameServer online (Sala Principal) (6)
20:03:00 [ServerList] GameServer offline (Sala Principal) (6)
20:03:07 [ServerList] GameServer online (Sala Principal) (6)
20:03:57 [ServerList] GameServer offline (Sala Principal) (6)
20:04:18 [ServerList] GameServer online (Sala Principal) (6)
20:04:30 [ServerList] GameServer offline (Sala Principal) (6)
20:04:51 [ServerList] GameServer online (Sala Principal) (6)
20:05:08 [ServerList] GameServer offline (Sala Principal) (6)
20:05:29 [ServerList] GameServer online (Sala Principal) (6)
23:08:46 [ServerList] GameServer offline (Sala Principal) (6)
23:09:07 [ServerList] GameServer online (Sala Principal) (6)
23:12:36 [ServerList] GameServer offline (Sala Principal) (6)
23:12:58 [ServerList] GameServer online (Sala Principal) (6)
23:48:32 [ServerList] GameServer offline (Sala Principal) (6)
