00:01:14 [SocketManager] Server started at port [44490]
00:01:14 [ServerList] ServerList loaded successfully
00:01:29 [ServerList] JoinServer online
00:02:40 [ServerList] GameServer online (Sala Principal) (6)
01:49:51 [ServerList] GameServer offline (Sala Principal) (6)
01:50:14 [ServerList] GameServer online (Sala Principal) (6)
01:50:27 [ServerList] GameServer offline (Sala Principal) (6)
01:50:49 [ServerList] GameServer online (Sala Principal) (6)
02:05:41 [ServerList] GameServer offline (Sala Principal) (6)
02:06:02 [ServerList] GameServer online (Sala Principal) (6)
02:06:16 [ServerList] GameServer offline (Sala Principal) (6)
02:06:37 [ServerList] GameServer online (Sala Principal) (6)
02:16:36 [ServerList] GameServer offline (Sala Principal) (6)
02:16:57 [ServerList] GameServer online (Sala Principal) (6)
02:18:14 [ServerList] GameServer offline (Sala Principal) (6)
02:18:40 [ServerList] GameServer online (Sala Principal) (6)
02:18:54 [ServerList] GameServer offline (Sala Principal) (6)
02:19:13 [ServerList] GameServer online (Sala Principal) (6)
02:36:27 [ServerList] GameServer offline (Sala Principal) (6)
02:38:34 [ServerList] GameServer online (Sala Principal) (6)
02:39:56 [ServerList] GameServer offline (Sala Principal) (6)
02:40:03 [ServerList] GameServer online (Sala Principal) (6)
02:40:18 [ServerList] GameServer offline (Sala Principal) (6)
02:40:38 [ServerList] GameServer online (Sala Principal) (6)
02:45:05 [ServerList] GameServer offline (Sala Principal) (6)
02:47:21 [ServerList] GameServer online (Sala Principal) (6)
02:52:23 [ServerList] GameServer offline (Sala Principal) (6)
02:53:56 [ServerList] GameServer online (Sala Principal) (6)
02:54:09 [ServerList] GameServer offline (Sala Principal) (6)
02:54:30 [ServerList] GameServer online (Sala Principal) (6)
03:58:11 [ServerList] GameServer offline (Sala Principal) (6)
03:58:31 [ServerList] GameServer online (Sala Principal) (6)
03:58:47 [ServerList] GameServer offline (Sala Principal) (6)
03:59:07 [ServerList] GameServer online (Sala Principal) (6)
03:59:20 [ServerList] GameServer offline (Sala Principal) (6)
03:59:41 [ServerList] GameServer online (Sala Principal) (6)
04:01:06 [ServerList] GameServer offline (Sala Principal) (6)
04:02:16 [ServerList] GameServer online (Sala Principal) (6)
04:06:12 [ServerList] GameServer offline (Sala Principal) (6)
04:06:32 [ServerList] GameServer online (Sala Principal) (6)
04:10:37 [ServerList] GameServer offline (Sala Principal) (6)
04:10:57 [ServerList] GameServer online (Sala Principal) (6)
04:17:50 [ServerList] GameServer offline (Sala Principal) (6)
04:27:00 [ServerList] GameServer online (Sala Principal) (6)
06:19:47 [ServerList] GameServer offline (Sala Principal) (6)
06:20:49 [ServerList] GameServer online (Sala Principal) (6)
17:27:58 [ServerList] GameServer offline (Sala Principal) (6)
17:28:18 [ServerList] GameServer online (Sala Principal) (6)
21:41:56 [ServerList] GameServer offline (Sala Principal) (6)
21:42:15 [ServerList] GameServer online (Sala Principal) (6)
23:00:48 [ServerList] GameServer offline (Sala Principal) (6)
23:01:46 [ServerList] GameServer online (Sala Principal) (6)
