00:09:40 [AccountInfo] Account disconnected by clear (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
00:10:20 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:30:30 [AccountInfo] Account disconnected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
09:45:10 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
10:16:04 [AccountInfo] Account connected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
10:17:19 [AccountInfo] Account disconnected (Account: foxx, IpAddress: 192.168.2.106, GameServerCode: 6)
14:42:30 [AccountInfo] Account disconnected by clear (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:43:10 [AccountInfo] Account connected (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
14:46:25 [AccountInfo] Account disconnected by clear (Account: viper, IpAddress: 192.168.2.106, GameServerCode: 6)
