00:12:50 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
00:12:54 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
00:16:47 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
00:16:50 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
00:19:05 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
00:19:06 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:19:08 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
00:22:32 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
00:33:40 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
00:33:52 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
00:34:48 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
00:35:42 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:57:11 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
00:57:45 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:06:06 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:06:34 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:13:26 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:14:10 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:19:55 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
01:20:05 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
01:20:29 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
01:21:09 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
01:23:57 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
01:24:52 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
07:36:36 [AccountInfo] Account connected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
07:38:43 [AccountInfo] Account disconnected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
07:39:24 [AccountInfo] Account connected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
07:41:14 [AccountInfo] Account disconnected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
07:41:59 [AccountInfo] Account connected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
07:46:17 [AccountInfo] Account disconnected (Account: kauanpvp, IpAddress: 170.238.49.71, GameServerCode: 6)
09:28:50 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
09:28:53 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
09:29:22 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
09:29:25 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:12:18 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:12:58 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:15:31 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:19:14 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:49:21 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
10:53:43 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:09:52 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
11:47:35 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
12:47:00 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:03:26 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:03:46 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:04:13 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:05:33 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 21)
13:05:37 [AccountInfo] Account connected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
13:07:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
13:07:33 [AccountInfo] Account connected (Account: wall, IpAddress: 38.43.85.151, GameServerCode: 40)
13:07:33 [AccountInfo] Account disconnected (Account: wall, IpAddress: 38.43.85.151, GameServerCode: 40)
13:07:37 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
13:17:07 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
13:17:19 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
14:17:42 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 177.33.140.100, GameServerCode: 6)
14:55:09 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
15:03:54 [AccountInfo] Account connected (Account: nyck1533, IpAddress: 186.251.213.196, GameServerCode: 6)
15:18:06 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
15:55:31 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
16:06:25 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
16:06:29 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
16:15:24 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
16:15:26 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
16:38:06 [AccountInfo] Account disconnected (Account: nyck1533, IpAddress: 186.251.213.196, GameServerCode: 6)
17:07:21 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
17:09:02 [AccountInfo] Account connected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
17:09:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 38.43.85.151, GameServerCode: 40)
17:09:18 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
19:00:03 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
19:00:06 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
19:06:54 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
19:07:08 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
19:14:31 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
19:14:34 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
19:18:10 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
19:18:12 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
19:22:22 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
19:22:24 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 6)
19:22:25 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
19:22:27 [AccountInfo] Account connected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
19:55:05 [AccountInfo] Account connected (Account: admin, IpAddress: 177.21.94.76, GameServerCode: 6)
19:58:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 177.21.94.76, GameServerCode: 6)
21:14:09 [AccountInfo] Account disconnected (Account: bagulho, IpAddress: 187.57.47.61, GameServerCode: 21)
21:18:26 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
21:18:53 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
21:19:16 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
21:19:39 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
21:42:22 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
21:59:47 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:04:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:04:37 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:24:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
22:55:34 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
22:56:11 [AccountInfo] Account disconnected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 21)
22:56:16 [AccountInfo] Account connected (Account: hard, IpAddress: 187.180.188.111, GameServerCode: 6)
23:09:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:09:39 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:10:00 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:10:28 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:10:39 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:13:37 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 6)
23:13:40 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:38:15 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
23:40:29 [AccountInfo] Account connected (Account: portuga, IpAddress: 38.43.85.151, GameServerCode: 40)
