00:00:08 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:00:38 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:02:08 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:02:11 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:02:36 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:02:57 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:03:51 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:03:59 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:04:33 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:07:14 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:13:24 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:42 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:15:10 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:30 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:33 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:50 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:02 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:05 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:20:38 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:32 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:32 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:21:57 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:22:17 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:30:34 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:30:34 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:32:47 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:35:26 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:36:05 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:37:56 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:38:20 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:40:27 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:40:35 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:41:54 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:42:17 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
00:42:18 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:42:33 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
