00:09:13 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:09:21 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:28 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:14:38 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:15:58 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:16:04 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:45 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:19:51 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:01 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:21 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:35 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:23:57 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:24:14 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:26:11 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:29:17 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:29:25 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:48:48 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:57:39 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
00:58:37 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:00:16 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:39:58 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:40:06 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
01:45:41 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
